Publisher ID,Publisher Names,Publisher Email,office Address,zipcode
78,"John Hunt Publishing, Ltd.",JohnHunt@gmail.com,06371 Cascade Junction,84314
79,Fawcett Books,FawcettBooks@gmail.com,1 Warbler Court,41160
80,Alianza,Alianza@gmail.com,359 Sutherland Road,31547
81,Downtown Book Center,DowntownBookCenter@gmail.com,0 Hoffman Street,94160
82,Delta,Delta@gmail.com,8 Fuller Junction,17868
83,Laure Leaf,LaureLeaf@gmail.com,1857 Cambridge Circle,23942
84,Love Spell,LoveSpell@gmail.com,3 Melody Park,55560
85,Penguin Books Ltd,PenguinBooksLtd@gmail.com,459 Michigan Trail,57580
86,Roc,Roc@gmail.com,9 Eastwood Park,10522
87,Tor Fantasy,TorFantasy@gmail.com,03 Ridgeview Court,53278
88,Harpercollins Publisher,HarpercollinsPublisher@gmail.com,5 Armistice Center,37770
89,Mariner Books,MarinerBooks@gmail.com,28 Thompson Way,97227
90,Picador (UK),Picador@gmail.com,66 Springview Point,75858
91,Dover Publications,DoverPublications@gmail.com,0 Fallview Terrace,39069
92,Simon Pulse,SimonPulse@gmail.com,55 La Follette Point,37153
93,Nelson Books,NelsonBooks@gmail.com,45 Alpine Crossing,29209
94,Regal Books,RegalBooks@gmail.com,76 Cambridge Center,30219
95,Del Rey Books,DelReyBooks@gmail.com,7596 John Wall Trail,44093
96,Spectra,Spectra@gmail.com,435 Charing Cross Park,37408
97,"Philipp Reclam, Jun Verlag GmbH",PhilippJunVerlagGmbH@gmail.com,1 Northridge Lane,43681
98,Diogenes,Diogenes@gmail.com,1185 Fairview Point,19430
99,Diogenes Verlag,DiogenesVerlag@gmail.com,25 Waubesa Park,73031
100,Distribooks Inc,DistribooksInc@gmail.com,9871 Ridgeway Place,57450
101,Deutscher Taschenbuch Verlag (DTV),DeutscherTaschenbuchVerlag@gmail.com,3 Hoepker Alley,73430
102,Dtv,Dtv@gmail.com,18 Mcguire Terrace,01144
103,"Droemersche Verlagsanstalt Th. Knaur Nachf., GmbH & Co.",DroemerscheVerlagsanstaltKnaurGmbH@gmail.com,26867 Coolidge Park,14529
104,Heyne,Heyne@gmail.com,3 Gina Lane,54230
105,Kiepenheuer & Witsch,KiepenheuerWitsch@gmail.com,0431 Scott Center,25567
106,Piper,Piper@gmail.com,4254 Dapin Place,49820
107,"Rowohlt, Reinbek",Reinbek@gmail.com,8 Mayer Court,28136
108,Rowohlt Tb.,Rowohlt@gmail.com,1009 Valley Edge Center,50831
109,Suhrkamp,Suhrkamp@gmail.com,44219 Lunder Pass,27625
110,Ullstein Tb,Ullstein@gmail.com,3 Fremont Trail,44867
111,"Bertelsmann, MÃ?Â¼nchen",@gmail.com,0850 Jenna Center,31096
112,"Fischer (Tb.), Frankfurt",FischerFrankfurt@gmail.com,8533 Crescent Oaks Point,46401
113,Bantam Dell Pub Group,BantamDellPubGroup@gmail.com,24 Little Fleur Parkway,75098
114,Doubleday,Doubleday@gmail.com,07 Artisan Pass,85269
115,Delacorte Books for Young Readers,DelacorteBooksforYoungReaders@gmail.com,998 Corben Way,13250
116,Island,Island@gmail.com,4 Grim Drive,03841
117,Warner Vision,WarnerVision@gmail.com,08 Mayfield Court,97488
118,Plume Books,PlumeBooks@gmail.com,5901 Banding Alley,20540
119,Jove Books,JoveBooks@gmail.com,50 Burning Wood Crossing,17321
120,Atria,Atria@gmail.com,06768 Towne Way,99133
121,University of Nebraska Press,UniversityNebraskaPress@gmail.com,855 Oxford Place,08045
122,Ivy Books,IvyBooks@gmail.com,30 Erie Park,12475
123,Regan Books,ReganBooks@gmail.com,58559 Monica Alley,96158
124,Harcourt,Harcourt@gmail.com,78 Erie Court,20053
125,Vintage Books USA,VintageBooksUSA@gmail.com,87 Coolidge Drive,63645
126,Dutton Books,DuttonBooks@gmail.com,9 Toban Center,38565
127,HarperCollins,HarperCollins@gmail.com,693 Acker Court,92376
128,HarperFestival,HarperFestival@gmail.com,18 Bluestem Lane,27104
129,HarperPrism,HarperPrism@gmail.com,98821 Randy Avenue,36322
130,HarperTempest,HarperTempest@gmail.com,8 Oriole Place,64036
131,St. Martin's Griffin,Griffin@gmail.com,6 Bowman Crossing,16849
132,Orb Books,OrbBooks@gmail.com,929 Dennis Trail,98834
133,Harlequin,Harlequin@gmail.com,13381 Jana Court,02460
134,Modern Library,ModernLibrary@gmail.com,9216 Starling Lane,63032
135,Knopf Books for Young Readers,KnopfBooksforYoungReaders@gmail.com,71101 Delladonna Pass,32313
136,William Morrow,WilliamMorrow@gmail.com,7 Granby Pass,72687
137,Wendy Lamb Books,WendyLambBooks@gmail.com,26511 Spaight Park,18438
138,Random House Inc,RandomHouseInc@gmail.com,65931 Atwood Street,45070
139,Push,Push@gmail.com,2647 Montana Court,76460
140,Signet Classics,SignetClassics@gmail.com,1822 Victoria Avenue,06241
141,Signet,Signet@gmail.com,88404 Colorado Way,36539
142,Faber Faber Inc,FaberFaberInc@gmail.com,961 Crowley Park,13457
143,Viking Juvenile,VikingJuvenile@gmail.com,56537 Corry Terrace,52040
144,Simon & Schuster,SimonSchuster@gmail.com,001 Golf View Terrace,29540
145,Touchstone,Touchstone@gmail.com,08 Vahlen Place,54941
146,Egmont Childrens Books,EgmontChildrensBooks@gmail.com,331 Spohn Junction,56069
147,Dreamhaven Books,DreamhavenBooks@gmail.com,9 Dixon Lane,21851
148,DC Comics,Comics@gmail.com,56839 Reindahl Plaza,47971
149,Dark Horse Comics,DarkHorseComics@gmail.com,7 John Wall Parkway,57106
150,Alpha Books,AlphaBooks@gmail.com,624 Forest Run Terrace,64656
151,Farrar Straus & Giroux,FarrarStrausGiroux@gmail.com,88 Kensington Lane,22092
152,Dell Publishing Company,DellPublishingCompany@gmail.com,1 Gerald Lane,76538
153,Riverhead Books,RiverheadBooks@gmail.com,672 Montana Road,68452
154,University of California Press,UniversityCaliforniaPress@gmail.com,3 Shopko Pass,79350
155,Spectra Books,SpectraBooks@gmail.com,7 David Street,20709
156,Viking Books,VikingBooks@gmail.com,4717 Pawling Drive,37421
157,Hackett Pub Co Inc,HackettPubInc@gmail.com,51749 Farragut Trail,99757
158,W W Norton & Co,Norton@gmail.com,8 Westerfield Hill,74834
159,Washington Square Press,WashingtonSquarePress@gmail.com,49633 Shoshone Road,38391
160,Scholastic Paperbacks (Mm),ScholasticPaperbacks@gmail.com,670 Sherman Parkway,53528
161,Harpercollins Juvenile Books,HarpercollinsJuvenileBooks@gmail.com,57 Hudson Alley,28209
162,Starfire,Starfire@gmail.com,1108 Vera Terrace,56533
163,Del Rey,DelRey@gmail.com,29945 Crescent Oaks Junction,23607
164,Eos,Eos@gmail.com,4 Main Road,55376
165,St. Martin's Paperbacks,Paperbacks@gmail.com,695 Spenser Court,41630
166,Viking Children's Books,VikingBooks@gmail.com,7 Oriole Place,33116
167,Delacorte Press,DelacortePress@gmail.com,79599 Rieder Junction,23286
168,Reader's Digest,Digest@gmail.com,92562 Oak Valley Road,25022
169,"Editores Mexicanos Unidos, S.A.",EditoresMexicanos@gmail.com,325 Garrison Way,35950
170,Quill (HarperCollins),Quill@gmail.com,123 Dayton Point,90312
171,Arcade Publishing,ArcadePublishing@gmail.com,2191 Novick Circle,81024
172,Fischer Taschenbuch Verlag GmbH,FischerTaschenbuchVerlagGmbH@gmail.com,5382 Mccormick Trail,60599
173,Access Press (HarperCollins),AccessPress@gmail.com,70 Emmet Trail,92815
174,John Wiley & Sons Inc,JohnWileySonsInc@gmail.com,29 Shasta Avenue,39332
175,Penguin USA (Paper),PenguinUSA@gmail.com,12472 Randy Alley,99681
176,Pocket Books,PocketBooks@gmail.com,7490 Victoria Park,87503
177,Readers Digest Assn,ReadersDigestAssn@gmail.com,802 Grim Hill,61053
178,Broadway Books,BroadwayBooks@gmail.com,5 Muir Alley,67663
179,F. H. Revell,Revell@gmail.com,39396 Division Pass,36831
180,Baker Book House,BakerBookHouse@gmail.com,50946 Dunning Avenue,43103
181,W Publishing Group,PublishingGroup@gmail.com,7 Thierer Park,42445
182,NavPress,NavPress@gmail.com,13 Division Place,27842
183,Pub Group West,PubGroupWest@gmail.com,16216 Service Alley,07481
184,YWAM Publishing,YWAMPublishing@gmail.com,0 Larry Avenue,95012
185,Emmaus Road Intl,EmmausRoadIntl@gmail.com,38 Aberg Junction,46111
186,Puffin Books,PuffinBooks@gmail.com,6807 Hovde Terrace,02894
187,Castle Books,CastleBooks@gmail.com,93 Nobel Center,58316
188,Llewellyn Publications,LlewellynPublications@gmail.com,34058 Northland Hill,15544
189,Harper Collins - UK,HarperCollins@gmail.com,41586 Warrior Crossing,13108
190,Silhouette,Silhouette@gmail.com,740 Westridge Avenue,04262
191,Penguin USA,PenguinUSA@gmail.com,0950 Myrtle Road,59081
192,Fawcett,Fawcett@gmail.com,7 Rowland Crossing,38054
193,New York Review of Books,NewYorkReviewBooks@gmail.com,6 Daystar Crossing,48166
194,Artisan Publishers,ArtisanPublishers@gmail.com,115 Mifflin Drive,13065
195,Amber-Allen Publishing,Publishing@gmail.com,46 Dryden Road,76654
196,"Editiones B, Grupo Zeta",EditionesGrupoZeta@gmail.com,2304 Grasskamp Terrace,69029
197,Columna,Columna@gmail.com,57703 Westport Way,08089
198,Ediciones Temas de Hoy,EdicionesTemasHoy@gmail.com,2873 Messerschmidt Parkway,24469
199,Salamandra,Salamandra@gmail.com,22 Lerdahl Pass,92859
200,Hal Leonard Corp,HalLeonardCorp@gmail.com,81 South Avenue,26763
201,Dial Books,DialBooks@gmail.com,3929 Heffernan Place,47875
202,Bantam Dell Publishing Group,BantamDellPublishingGroup@gmail.com,5019 Bashford Hill,55343
203,Jump at the Sun,JumptheSun@gmail.com,65 Farragut Plaza,14134
204,I Books,Books@gmail.com,6440 Messerschmidt Pass,79027
205,Wizards of the Coast,WizardstheCoast@gmail.com,543 3rd Place,32667
206,Cornell University Press,CornellUniversityPress@gmail.com,7247 Ridge Oak Road,02717
207,Price Stern Sloan,PriceSternSloan@gmail.com,808 Reindahl Drive,77210
208,Playmore Inc. Publishers,PlaymorePublishers@gmail.com,2202 Hanson Drive,00544
209,National Geographic Society,NationalGeographicSociety@gmail.com,64720 Truax Point,64198
210,Kidsbooks.Com,@gmail.com,5858 Mccormick Drive,98141
211,HarperTrophy,HarperTrophy@gmail.com,01854 Moulton Trail,29466
212,Soho Press,SohoPress@gmail.com,19 Lakewood Circle,06320
213,Knopf,Knopf@gmail.com,212 Messerschmidt Avenue,54464
214,Nan A. Talese,NanTalese@gmail.com,7 Acker Road,07857
215,Owl Books,OwlBooks@gmail.com,9590 Vernon Point,99252
216,Simon Schuster Trade,SimonSchusterTrade@gmail.com,350 Nancy Pass,77565
217,Image,Image@gmail.com,73497 South Plaza,75243
218,Houghton Mifflin Company,HoughtonMifflinCompany@gmail.com,20383 Esker Junction,62874
219,MacMillan Publishing Company.,MacMillanPublishing@gmail.com,1499 Hintze Trail,33002
220,Picador USA,PicadorUSA@gmail.com,2986 Shopko Junction,63357
221,Putnam Publishing Group,PutnamPublishingGroup@gmail.com,728 Fallview Place,77343
222,Random House Value Publishing,RandomHouseValuePublishing@gmail.com,31 Wayridge Court,38503
223,Villard Books,VillardBooks@gmail.com,0623 Elgar Place,04953
224,Morehouse Group,MorehouseGroup@gmail.com,4 Arizona Way,46277
225,Ecco Press,EccoPress@gmail.com,36730 Ohio Hill,47304
226,White Pine Press (NY),WhitePinePress@gmail.com,7 Huxley Place,45771
227,Fabbri - RCS Libri,FabbriRCSLibri@gmail.com,186 Trailsway Lane,36030
228,Edizioni E/O,Edizioni@gmail.com,95453 Dahle Junction,25719
229,Puffin,Puffin@gmail.com,91080 Graceland Hill,53101
230,Saunders College Publishing,SaundersCollegePublishing@gmail.com,438 Bunting Circle,66614
231,Houghton Mifflin,HoughtonMifflin@gmail.com,016 Gulseth Trail,62995
232,Schocken Books,SchockenBooks@gmail.com,9 School Center,17843
233,Watson-Guptill Publications,Publications@gmail.com,677 Tennessee Court,02138
234,Random House Canada,RandomHouseCanada@gmail.com,4 Veith Park,11933
235,Thomas Dunne Books,ThomasDunneBooks@gmail.com,9057 Troy Street,16314
236,Little Brown & Co,LittleBrown@gmail.com,7 Elka Crossing,29410
237,Atria Books,AtriaBooks@gmail.com,0 Killdeer Point,17018
238,St Martins Pr,Martins@gmail.com,84 Burrows Point,76872
239,Grove Press,GrovePress@gmail.com,23 Swallow Avenue,17313
240,WestBow Press,WestBowPress@gmail.com,36 Old Gate Alley,13752
241,Henry Holt & Company,HenryHoltCompany@gmail.com,18 Montana Way,60021
242,Hyperion Books,HyperionBooks@gmail.com,71336 Raven Drive,74147
243,Thorndike Pr,Thorndike@gmail.com,0521 Susan Alley,74839
244,Zebra Books,ZebraBooks@gmail.com,4965 Crescent Oaks Way,35234
245,Golden Books Publishing Company,GoldenBooksPublishingCompany@gmail.com,1517 Jay Center,53558
246,Yearling,Yearling@gmail.com,240 Logan Hill,31534
247,Apple Signature (Scholastic),AppleSignature@gmail.com,1 Dovetail Way,35111
248,"Scholastic, Inc.",@gmail.com,9874 Monica Junction,14824
249,Golden Books,GoldenBooks@gmail.com,2 Ridge Oak Street,24184
250,Inner Ocean Publishing,InnerOceanPublishing@gmail.com,368 Lighthouse Bay Lane,57772
251,St. Martin's Minotaur,Minotaur@gmail.com,886 Buhler Point,04064
252,Scholastic Inc,ScholasticInc@gmail.com,5981 Muir Park,87022
253,Albert Whitman & Company,AlbertWhitmanCompany@gmail.com,832 Chive Circle,55437
254,Broadway,Broadway@gmail.com,250 Michigan Crossing,47925
255,Putnam Pub Group (Paper),PutnamPubGroup@gmail.com,85267 Pine View Court,26561
256,Griffin Trade Paperback,GriffinTradePaperback@gmail.com,1 Sommers Plaza,30014
257,New Directions Publishing Corporation,NewDirectionsPublishingCorporation@gmail.com,368 Heffernan Center,60936
258,HarperSanFrancisco,HarperSanFrancisco@gmail.com,74 Hudson Way,98314
259,Multnomah,Multnomah@gmail.com,51 4th Court,56968
260,Beacon Press,BeaconPress@gmail.com,895 2nd Trail,33694
261,Harper Mass Market Paperbacks,HarperMassMarketPaperbacks@gmail.com,22 Prairie Rose Pass,98532
262,MacAdam/Cage Publishing,Publishing@gmail.com,2269 Scoville Circle,29306
263,LGF,LGF@gmail.com,0 Division Pass,29215
264,Gallimard French,GallimardFrench@gmail.com,01184 Sundown Circle,33090
265,Livre De Poche French,LivrePocheFrench@gmail.com,275 Gateway Terrace,22939
266,Gallimard,Gallimard@gmail.com,53151 Clyde Gallagher Way,46211
267,Livre de Poche,LivrePoche@gmail.com,5 Jenna Junction,75137
268,J'ai lu,@gmail.com,899 Hudson Park,56662
269,Crown,Crown@gmail.com,377 Hoffman Place,74085
270,William Morrow & Company,WilliamMorrowCompany@gmail.com,2 Garrison Drive,56292
271,Everyman's Library,Library@gmail.com,802 Brickson Park Alley,98310
272,Harmony,Harmony@gmail.com,002 Ridge Oak Road,04626
273,Sourcebooks Landmark,SourcebooksLandmark@gmail.com,547 Utah Hill,42060
274,Little Brown and Company,LittleBrownandCompany@gmail.com,81 Marcy Junction,41745
275,Michael Joseph Ltd,MichaelJosephLtd@gmail.com,9567 Dayton Alley,35119
276,Trafalgar Square,TrafalgarSquare@gmail.com,76197 Roth Crossing,89139
277,Bloomsbury Pub Ltd,BloomsburyPubLtd@gmail.com,31299 Columbus Street,61462
278,Penguin Putnam~trade,Penguin@gmail.com,0 Bellgrove Trail,97050
279,Lomond Books,LomondBooks@gmail.com,52194 Thompson Junction,07208
280,Faber Children's Books,FaberBooks@gmail.com,77 Kingsford Crossing,23665
281,Abacus,Abacus@gmail.com,05 Kenwood Parkway,50480
282,Michael O'Mara Books,MichaelBooks@gmail.com,770 Corscot Terrace,28310
283,Trafalgar Square Books,TrafalgarSquareBooks@gmail.com,0 Montana Drive,21034
284,Dargaud,Dargaud@gmail.com,017 Vermont Point,44861
285,Brockhampton Press,BrockhamptonPress@gmail.com,4 Rutledge Parkway,76028
286,Union générale d'éditions,Union@gmail.com,30412 Fulton Junction,10509
287,Canongate Books Ltd,CanongateBooksLtd@gmail.com,92 Rieder Way,12167
288,Routledge,Routledge@gmail.com,214 Stang Crossing,01020
289,Firebrand Books,FirebrandBooks@gmail.com,1 Mockingbird Alley,15358
290,Windstorm Creative,WindstormCreative@gmail.com,37 Melrose Center,09596
291,Akashic Books,AkashicBooks@gmail.com,73934 Laurel Park,68448
292,New Amer Library,NewAmerLibrary@gmail.com,99074 Kensington Court,20201
293,Alyson Books,AlysonBooks@gmail.com,9 2nd Park,44490
294,Rising Tide Press (AZ),RisingTidePress@gmail.com,882 Ilene Center,40488
295,Alyson Publications,AlysonPublications@gmail.com,812 Hanover Avenue,53191
296,Press Gang Publishers,PressGangPublishers@gmail.com,4 Myrtle Terrace,75503
297,Crimeline,Crimeline@gmail.com,13 South Pass,39483
298,Stonewall Inn Editions,StonewallInnEditions@gmail.com,10223 Dryden Circle,13495
299,Random House Children's Books,RandomHouseBooks@gmail.com,426 Myrtle Hill,45240
300,Miramax,Miramax@gmail.com,7 Columbus Pass,46372
301,Random House Childrens Books,RandomHouseChildrensBooks@gmail.com,4349 Hayes Way,02051
302,Laurel-Leaf Books,Books@gmail.com,6384 Dahle Circle,16369
303,Del Sol Press,DelSolPress@gmail.com,814 Meadow Ridge Lane,20155
304,Wings,Wings@gmail.com,1 Monterey Trail,53075
305,Manning Publications,ManningPublications@gmail.com,99242 Mandrake Place,98396
306,Ohio University Press,OhioUniversityPress@gmail.com,9 Redwing Parkway,33121
307,Hyperion Books for Children,HyperionBooksforChildren@gmail.com,696 Cascade Place,31702
308,Magic Carpet Books,MagicCarpetBooks@gmail.com,30 Laurel Alley,13045
309,Pleasant Company Publications,PleasantCompanyPublications@gmail.com,4594 Kropf Lane,56484
310,Scholastic Paperbacks,ScholasticPaperbacks@gmail.com,203 Dahle Alley,60145
311,John F. Blair Publisher,JohnBlairPublisher@gmail.com,6 Bobwhite Court,90832
312,Monarch Books,MonarchBooks@gmail.com,1957 Del Sol Court,23060
313,Flammarion,Flammarion@gmail.com,8 Michigan Park,62301
314,Phoenix Books,PhoenixBooks@gmail.com,2591 Ronald Regan Terrace,93618
315,Hyperion Press,HyperionPress@gmail.com,372 Grover Place,46290
316,Cambridge University Press,CambridgeUniversityPress@gmail.com,309 Boyd Center,62271
317,Amereon Limited,AmereonLimited@gmail.com,9 Rowland Circle,37309
318,Hill & Wang,HillWang@gmail.com,32930 Lillian Center,95675
319,Anchor Pub,AnchorPub@gmail.com,7777 Rowland Circle,56134
320,Four Walls Eight Windows,FourWallsEightWindows@gmail.com,24779 Leroy Lane,22640
321,Steeple Hill,SteepleHill@gmail.com,91756 Texas Pass,68361
322,Reston Pub. Co,Reston@gmail.com,2 Monument Trail,55473
323,Word Publishing,WordPublishing@gmail.com,2640 American Ash Trail,98390
324,G. P. Putnam's Sons,Sons@gmail.com,105 Corry Parkway,94536
325,W. Morrow,Morrow@gmail.com,053 International Pass,15940
326,Main Street Books,MainStreetBooks@gmail.com,5 Florence Drive,25919
327,"Random House, Inc.",Random@gmail.com,487 Hansons Street,65692
328,Adams Media Corp,AdamsMediaCorp@gmail.com,36 Dayton Way,23842
329,Mysterious Press,MysteriousPress@gmail.com,5469 Manitowish Terrace,43652
330,Mira,Mira@gmail.com,3 Randy Crossing,95970
331,Harpercollins Library,HarpercollinsLibrary@gmail.com,58 Graedel Crossing,02205
332,Sagebrush Bound,SagebrushBound@gmail.com,8 Dayton Way,75211
333,HarperEntertainment,HarperEntertainment@gmail.com,31 Golf Course Pass,88244
